,Ref,Team,Goals per Game
540,Ron Asselstine,Buffalo Sabres,3.1578947368421053
541,Ron Asselstine,New York Rangers,3.3636363636363638
542,Ron Asselstine,Pittsburgh Penguins,4.125
543,Ron Asselstine,Tampa Bay Lightning,2.380952380952381
544,Ron Asselstine,Chicago Blackhawks,2.9285714285714284
545,Ron Asselstine,Detroit Red Wings,2.6
546,Ron Asselstine,Calgary Flames,2.4285714285714284
547,Ron Asselstine,Winnipeg Jets (1979),4.2
548,Ron Asselstine,Anaheim Ducks,4.0
549,Ron Asselstine,Edmonton Oilers,3.4
550,Ron Asselstine,Dallas Stars,2.4
551,Ron Asselstine,Vancouver Canucks,3.3333333333333335
552,Ron Asselstine,San Jose Sharks,3.4285714285714284
553,Ron Asselstine,St. Louis Blues,3.375
554,Ron Asselstine,Los Angeles Kings,3.2142857142857144
555,Ron Asselstine,Toronto Maple Leafs,3.0
556,Ron Asselstine,Hartford Whalers,3.4
557,Ron Asselstine,Washington Capitals,3.727272727272727
558,Ron Asselstine,Florida Panthers,2.7058823529411766
559,Ron Asselstine,New York Islanders,2.8125
560,Ron Asselstine,Montréal Canadiens,2.6956521739130435
561,Ron Asselstine,Philadelphia Flyers,2.619047619047619
562,Ron Asselstine,Quebec Nordiques,5.0
563,Ron Asselstine,Boston Bruins,2.933333333333333
564,Ron Asselstine,New Jersey Devils,2.6
565,Ron Asselstine,Ottawa Senators,2.35
566,Ron Asselstine,Colorado Avalanche,3.0
567,Ron Asselstine,Phoenix Coyotes,3.0
568,Ron Asselstine,Carolina Hurricanes,
569,Ron Asselstine,Nashville Predators,
570,Ron Asselstine,Atlanta Thrashers,
571,Ron Asselstine,Minnesota Wild,
